thesis,subject
"

Mathematical and Numerical Modelling in Hemodynamics and Hemorheology",Mathematics Subject Classification: 76—Fluid mechanics
"

Mathematical and Numerical Analysis of Non-Newtonian Fluids in Curved Pipes",Mathematics Subject Classification: 35—Partial differential equations
"

Orientation of Rigid Bodies in Newtonian and Non-Newtonian Fluids",Mathematics Subject Classification: 76—Fluid mechanics
"

",Mathematics Subject Classification: 76—Fluid mechanics
"

Die Helmholtz-Zerlegung, das schwache Neumann- und Dirichlet-Problem für Lq auf unbeschränkten zylindrischen Gebieten",Mathematics Subject Classification: 35—Partial differential equations
"

Das schwache Direchletproblem in Lq für den Bipotentialoperator in beschränkten Gebieten und Außengebieten",Mathematics Subject Classification: 47—Operator theory
"

Mathematical Analysis of Viscoelastic Non-Newtonian Fluids",Mathematics Subject Classification: 76—Fluid mechanics
"

Numerical Simulations of a Non-Newtonian Fluid Flow Model Using Finite Element Methods",Mathematics Subject Classification: 65—Numerical analysis
"

Finite Element Methods for Contact Problems",Mathematics Subject Classification: 65—Numerical analysis
"

Stabilized Finite Element Methods for Plate Bending Problems",Mathematics Subject Classification: 65—Numerical analysis
"

Finite Element Methods for Flow in Porous Media",Mathematics Subject Classification: 65—Numerical analysis
"

Computational structural mechanics within strain gradient elasticity: mathematical formulations and isogeometric analysis for metamaterial design",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

A priori and a posteriori Error Analysis of Finite Element Methods for Plate Models",Mathematics Subject Classification: 65—Numerical analysis
"

Finite Element Methods For Parameter Dependent Problems",Mathematics Subject Classification: 65—Numerical analysis
"

Thermomechanics of Swelling Unsaturated Porous Media",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

Some Studies on Disorder and Noise in Statistical Physics","Mathematics Subject Classification: 82—Statistical mechanics, structure of matter"
"

Small Amplitude Sound in a Gas",Mathematics Subject Classification: 70—Mechanics of particles and systems
"

Best bilinear shell element: flat, twisted or curved?",Mathematics Subject Classification: 65—Numerical analysis
"

On Multigroup Transport Theory with a Degenerate Transfer Kernel",Mathematics Subject Classification: 45—Integral equations
"

Charge dependent corrections to pi meson photoproduction","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Multigroup Transport Equations with Nondiagonal Cross-Section Matrices",Mathematics Subject Classification: 45—Integral equations
"

Applications of the Wigner Representation to the Theory of Slow Neutron Scattering",Mathematics Subject Classification: 81—Quantum Theory
"

Boundary shape analysis of electrical impedance tomography with applications",Mathematics Subject Classification: 65—Numerical analysis
"

Scaling in Chaotic Dynamical Systems",Mathematics Subject Classification: 37—Dynamical systems and ergodic theory
"

Theoretical Halflives of Forbidden beta-Transitions","Mathematics Subject Classification: 82—Statistical mechanics, structure of matter"
"

Fluctuations and Irreversible Behaviour of Thermodynamic Systems","Mathematics Subject Classification: 80—Classical thermodynamics, heat transfer"
"

Large Eddy Simulations of Flow Past a Cubic Obstacle",Mathematics Subject Classification: 76—Fluid mechanics
"

","Mathematics Subject Classification: 82—Statistical mechanics, structure of matter"
"

Optimal Fuel Pin Enrichments in Nuclear Reactor Fuel Bundles","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

A Spray Model For An Adaptive Mesh Refinement Code",Mathematics Subject Classification: 68—Computer science
"

Experimental and Theoretical Investigations of Fire Behavior in Live Fuels",Mathematics Subject Classification: 00—General
"

Electrons and Vortex Lines in He II","Mathematics Subject Classification: 82—Statistical mechanics, structure of matter"
"

Incorporating Reduced Kinetic Mechanisms in Numerical Simulations of Nonpremixed Flames",Mathematics Subject Classification: 76—Fluid mechanics
"

Combustion response to acoustic perturbation in liquid rocket engines",Mathematics Subject Classification: 76—Fluid mechanics
"

Analyticity of point measurements in inverse conductivity and scattering
problems",Mathematics Subject Classification: 35—Partial differential equations
"

Approximations and Surrogates for Computational Inverse Boundary Value Problems",Mathematics Subject Classification: 65—Numerical analysis
"

Study of Low Temperature Combustion Using Large Eddy Simulations",Mathematics Subject Classification: 76—Fluid mechanics
"

Efficient reconstruction algorithms for three-dimensional tomographic imaging",Mathematics Subject Classification: 65—Numerical analysis
"

Numerical solution of the equations governing non-Newtonian flow at
moderate Reynolds numbers",Mathematics Subject Classification: 76—Fluid mechanics
"

Inverse Source Methods in Diffuse Imaging",Mathematics Subject Classification: 65—Numerical analysis
"

Dynamics of a Class of Vortex Rings",Mathematics Subject Classification: 76—Fluid mechanics
"

Deposition of Medical Aerosols in the Human Respiratory Tract",Mathematics Subject Classification: 70—Mechanics of particles and systems
"

LES SCALAR MIXING AND COMBUSTION MODELING IN INTERNAL COMBUSTION ENGINES",Mathematics Subject Classification: 76—Fluid mechanics
"

The Effects of Curvature on Turbulent Mixing Layers",Mathematics Subject Classification: 76—Fluid mechanics
"

Flying-Hot-Wire Study of Two-Dimensional Turbulent Separation of an NACA 4412 Airfoil at Maximum Lift",Mathematics Subject Classification: 76—Fluid mechanics
"

Structure of turbulent and laminar reaction zones",Mathematics Subject Classification: 76—Fluid mechanics
"

Analysis of Turbulent Nonpremixed Combustion of Wood Pyrolysis Gas via Numerical Simulations",Mathematics Subject Classification: 76—Fluid mechanics
"

Instability and Transition in Curved Channel Flow",Mathematics Subject Classification: 76—Fluid mechanics
"

Studies of Curvature, Strain and Unsteady Effects on Premixed Flames",Mathematics Subject Classification: 76—Fluid mechanics
"

Direct Numerical Simulations of Unsteady Separated Flows Using Vortex Methods",Mathematics Subject Classification: 35—Partial differential equations
"

Experimental and Analytical Investigation of Oscillations in Flows over Cavities",Mathematics Subject Classification: 76—Fluid mechanics
"

Analytical and Experimental Investigation of a Turbulent Mixing Layer of Different Gases in a Pressure Gradient",Mathematics Subject Classification: 76—Fluid mechanics
"

Aportaciones a la resolución de problemas de optimización matemática",Mathematics Subject Classification: 62—Statistics
"

Numerical Simulation of Separated Flows",Mathematics Subject Classification: 76—Fluid mechanics
"

Investigation of Flow Around Simple Bodies in Hypersonic Flow",Mathematics Subject Classification: 76—Fluid mechanics
"

The Development of Low-order Models For The Study of Fluid-structure Interaction",Mathematics Subject Classification: 76—Fluid mechanics
"

Analysis, Modeling and Simulation of Growth Processes in Biology",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

Turbulent Structure and Mean-Flow Characteristics of Dual-Stream High-Speed Jets",Mathematics Subject Classification: 76—Fluid mechanics
"

Experiments on the Evolution of Large Scale Structures in Compressible Shear Layers",Mathematics Subject Classification: 76—Fluid mechanics
"

",Mathematics Subject Classification: 45—Integral equations
"

Compressible, Turbulent Flow Computation and Drag Optimization for
= Axisymmetric Afterbodies",Mathematics Subject Classification: 35—Partial differential equations
"

Filtrado de Kalman sobre modelos aproximativos de espacio de estados",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Design and Evaluation of Cellular Power Converter Architectures","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Investigation and Application of High-Efficiency Large-Step-Down Power Conversion Architectures","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Discretization-Corrected PSE Operators for Adaptive Multiresolution
Particle Methods",Mathematics Subject Classification: 65—Numerical analysis
"

Partial-propensity simulation algorithms for stochastic chemical kinetics
and the role of fluctuations in mesoscopic reaction systems",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

On the General Theory of Microwave Interactions with Ellipsoidal Ferrimagnetic Insulators","Mathematics Subject Classification: 78—Optics, electromagnetic theory"
"

Wave Propagation on Lossless Nonlinear Transmission Lines Exhibiting Dispersion",Mathematics Subject Classification: 35—Partial differential equations
"

Problemas de representación y predicción sobre campos aleatorios de segundo orden",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Characterization, Optimization, Sampling, and Application to Geometric Configuration Problems",Mathematics Subject Classification: 68—Computer science
"

Untersuchung über den Heulsummer","Mathematics Subject Classification: 78—Optics, electromagnetic theory"
"

Die Anlage der Zeichnung und deren physiologische Ursachen bei Ringelnatterembryonen",Mathematics Subject Classification: 92—Biology and other natural sciences
"

","Mathematics Subject Classification: 78—Optics, electromagnetic theory"
"

Acoustics of Dual-Stream High-Speed Jets",Mathematics Subject Classification: 76—Fluid mechanics
"

Rayleigh's problem at low Mach number according to the kinetic theory of gases",Mathematics Subject Classification: 35—Partial differential equations
"

Asymmetries in the Structure of the Forward Stagnation Region of the Solar-Wind Magnetospheric Interaction",Mathematics Subject Classification: 76—Fluid mechanics
"

Pulsed squeezing in optical fibers",Mathematics Subject Classification: 00—General
"

A Methodology for the Design and Evaluation of Advanced Automotive Electrical Power Systems","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Static and Dynamic Analysis of a Two-State Modulation System",Mathematics Subject Classification: 93—Systems theory; control
"

High Power Density High Efficiency Electrolytic-Free Single-Phase LED Drivers","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Low Profile, High Power Density and High Efficiency DC-DC Converters","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Un modelo de estimación espectral para observaciones no-igualmente espaciadas",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

High-Performance Power Converters for Telecom and Datacenter Applications","Mathematics Subject Classification: 94—Information and communication, circuits"
"

",Mathematics Subject Classification: 45—Integral equations
"

Synthesis of Optimum Antenna Applicators for Use in Treating Deep Localized Tumors","Mathematics Subject Classification: 78—Optics, electromagnetic theory"
"

Maximizing Color Differences","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Application of Green's Functions and Eigenmodes in the Design of Piezoelectric Ceramic Devices",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

Deterioration of suspension insulators produced by mechanical vibrations","Mathematics Subject Classification: 94—Information and communication, circuits"
"

",Mathematics Subject Classification: 35—Partial differential equations
"

Wave Propagation in Moving Anisotropic Media","Mathematics Subject Classification: 78—Optics, electromagnetic theory"
"

",Mathematics Subject Classification: 35—Partial differential equations
"

Theory of operation and applications of coupled circuit oscillating system.","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Some Problems in Sound Radiation",Mathematics Subject Classification: 76—Fluid mechanics
"

An Experimental Investigation of the Effect of a Density Gradient on Shear Layer Instability",Mathematics Subject Classification: 76—Fluid mechanics
"

Merged-Multi-Stage Power Conversion: A Hybrid Switched-Capacitor Magnetics Approach","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Renewable Electric Power Systems Energy Yield and Performance Estimation",Mathematics Subject Classification: 93—Systems theory; control
"

An Integrated Methodology for the Performance and Reliability Evaluation of Fault-Tolerant Systems",Mathematics Subject Classification: 93—Systems theory; control
"

Hypersonic Viscous Flow over a Flat Plate",Mathematics Subject Classification: 76—Fluid mechanics
"

Stability of the compressible laminar boundary layer",Mathematics Subject Classification: 76—Fluid mechanics
"

The Effect of Surfactants on Free-Surface Flows",Mathematics Subject Classification: 76—Fluid mechanics
"

",Mathematics Subject Classification: 35—Partial differential equations
"

Integral theory for turbulent base flows at subsonic and supersonic speeds",Mathematics Subject Classification: 35—Partial differential equations
"

Active Control of Low Reynolds Number Flows via Real-Time Particle Image Velocimetry",Mathematics Subject Classification: 76—Fluid mechanics
"

Application of Fictitious Domain Method to Analysis of Composite Materials",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

On Maps from a 3-Dimensional Manifold to the Plane","Mathematics Subject Classification: 58—Global analysis, analysis on manifolds"
"

Modeling of Intergranular Creep Damage and the Investigation of the Role of Creep Crack Growth in Creep Life Prediction",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

A Study of Heat Transport Processes in the Wake of a Stationary and Oscillating Circular Cylinder Using Digital Particle Image Velocimetry/Thermometry",Mathematics Subject Classification: 76—Fluid mechanics
"

Role of Geometric Complexities and Off-Fault Damage in Dynamic Rupture Propagation",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

Wake Modes of Rotationally Oscillating Circular Cylinder in Cross-flow and
its Relationship with Heat Transfer",Mathematics Subject Classification: 76—Fluid mechanics
"

Dynamics and materials physics of fault rupture and glacial processes",Mathematics Subject Classification: 86—Geophysics
"

Geophysics from Small to Big Data",Mathematics Subject Classification: 86—Geophysics
"

Localization of deformation and inelastic deformation of pressure-sensitive dilatant materials",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

From multiscale modeling to metamodeling of geomechanics problems",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

Capturing Evolving Size-Dependent Anisotropy from Brittle Fracture to Plasticity for Geological Materials",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

Transient Analysis of Axially Moving Materials Interacting with External
Dynamic Components",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

Numerical Techniques for the Solution of Partial Differential and Integral Equations on Irregular Domains with Applications to Problems in Electrowetting",Mathematics Subject Classification: 65—Numerical analysis
"

Fast direct solvers for elliptic partial differential equations",Mathematics Subject Classification: 65—Numerical analysis
"

New Methods in Modal Analysis and Structural Damage Identification",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

Fast Multiscale Methods for Lattice Equations",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

Analysis of Bloch Formalism In Undamped And Damped Periodic Structures",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

Metamaterial-inspired electroelastoacoustic energy harvesting",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

The Role of Dislocation Activities in the Brittle-Ductile Transition in Silicon Single Crystals",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

An Asymptotic Analysis of Gas Lubrication of Rough Surfaces",Mathematics Subject Classification: 76—Fluid mechanics
"

Why walk and run: energetic costs and energetic optimality in simple mechanics-based models of a bipedal animal",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Normal Mode Analysis for Atmospheric Flows",Mathematics Subject Classification: 76—Fluid mechanics
"

Steady states, non-steady evolution, pinch-off and post-pinch-off of axisymmetric drops in Stokes flow",Mathematics Subject Classification: 76—Fluid mechanics
"

Dispersion Analysis of Nonlinear Periodic Structures",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

Wave Propagation In Nonlinear Periodic Structures",Mathematics Subject Classification: 74—Mechanics of deformable solids
